ward_no,date,mean
16,2018-10-30,-1.010655698
17,2018-10-30,-0.9705172256
18,2018-10-30,-0.847636429
19,2018-10-30,-0.8717052448
20,2018-10-30,-0.9735315651
21,2018-10-30,-0.9906104951
22,2018-10-30,-1.04206011
23,2018-10-30,-0.9065530588
24,2018-10-30,-0.89838768
1,2018-11-06,-0.8361483202
2,2018-11-06,-0.8183686116
3,2018-11-06,-0.8088916957
4,2018-11-06,-0.8112472843
5,2018-11-06,-0.8020588136
6,2018-11-06,-0.8118404883
7,2018-11-06,-0.7879446873
8,2018-11-06,-0.7900174796
9,2018-11-06,-0.7815439181
10,2018-11-06,-0.8848363335
11,2018-11-06,-0.979837968
12,2018-11-06,-0.941136654
13,2018-11-06,-1.015637135
14,2018-11-06,-0.7863942414
15,2018-11-06,-0.942523142
16,2018-11-06,-0.8620317586
17,2018-11-06,-0.7823241428
18,2018-11-06,-0.7229539243
19,2018-11-06,-0.7625780565
20,2018-11-06,-0.8533404719
21,2018-11-06,-0.905798072
22,2018-11-06,-0.9605794792
23,2018-11-06,-0.7876292407
24,2018-11-06,-0.7781478882
1,2018-11-13,-0.6853158746
2,2018-11-13,-0.6612537278
3,2018-11-13,-0.6616975124
4,2018-11-13,-0.6942459701
5,2018-11-13,-0.6482419079
6,2018-11-13,-0.6354829791
7,2018-11-13,-0.6160182218
8,2018-11-13,-0.6663143322
9,2018-11-13,-0.6065188612
10,2018-11-13,-0.6732919853
11,2018-11-13,-0.769316569
12,2018-11-13,-0.7229388124
13,2018-11-13,-0.769872317
14,2018-11-13,-0.636502485
15,2018-11-13,-0.7313406596
16,2018-11-13,-0.743596107
17,2018-11-13,-0.6807444606
18,2018-11-13,-0.5539429813
19,2018-11-13,-0.580899998
20,2018-11-13,-0.6572539571
21,2018-11-13,-0.7121385477
22,2018-11-13,-0.727347307
23,2018-11-13,-0.6321219953
24,2018-11-13,-0.5859505946
1,2018-11-20,-0.6837481678
2,2018-11-20,-0.6307951012
3,2018-11-20,-0.6286446532
4,2018-11-20,-0.6382327036
5,2018-11-20,-0.6232117318
6,2018-11-20,-0.6249930006
7,2018-11-20,-0.6357004873
8,2018-11-20,-0.6508168288
9,2018-11-20,-0.6131753385
10,2018-11-20,-0.6939862814
11,2018-11-20,-0.846349477
12,2018-11-20,-0.7761518434
13,2018-11-20,-0.8533957222
14,2018-11-20,-0.644339406
15,2018-11-20,-0.8466658817
16,2018-11-20,-0.6998490794
17,2018-11-20,-0.6712910068
18,2018-11-20,-0.5969102609
19,2018-11-20,-0.6689924089
20,2018-11-20,-0.7482261089
21,2018-11-20,-0.7638894067
22,2018-11-20,-0.8524976951
23,2018-11-20,-0.5951845068
24,2018-11-20,-0.6572698229
1,2018-11-27,-0.634377397
2,2018-11-27,-0.6459190731
3,2018-11-27,-0.6245888132
4,2018-11-27,-0.6232640168
5,2018-11-27,-0.6440495834
6,2018-11-27,-0.6555305057
7,2018-11-27,-0.6696427044
8,2018-11-27,-0.6766345189
9,2018-11-27,-0.6612612378
10,2018-11-27,-0.7177836658
11,2018-11-27,-0.8073286142
12,2018-11-27,-0.7453023265
13,2018-11-27,-0.8261493105
14,2018-11-27,-0.5939723265
15,2018-11-27,-0.8350696531
16,2018-11-27,-0.7005719998
17,2018-11-27,-0.6907287704
18,2018-11-27,-0.6123569613
19,2018-11-27,-0.6006006213
20,2018-11-27,-0.6819529558
21,2018-11-27,-0.7218498645
22,2018-11-27,-0.7957030535
23,2018-11-27,-0.6591491281
24,2018-11-27,-0.6681142455
1,2018-12-04,-1.003097596
2,2018-12-04,-0.9767369149
3,2018-12-04,-0.9812573738
4,2018-12-04,-1.007431256
5,2018-12-04,-1.001280147
6,2018-12-04,-1.004720122
7,2018-12-04,-1.006726316
8,2018-12-04,-0.9730654581
9,2018-12-04,-0.981895705
10,2018-12-04,-1.001639991
11,2018-12-04,-1.081543523
12,2018-12-04,-1.050039354
13,2018-12-04,-1.095281259
14,2018-12-04,-0.9862067445
15,2018-12-04,-1.051335291
16,2018-12-04,-0.9815720003
17,2018-12-04,-0.97053244
18,2018-12-04,-0.911739982
19,2018-12-04,-0.9402976436
20,2018-12-04,-1.010934624
21,2018-12-04,-1.043681822
22,2018-12-04,-1.056538412
23,2018-12-04,-0.9772314663
24,2018-12-04,-0.9337729333
1,2018-12-11,-0.65014921
2,2018-12-11,-0.642221321
3,2018-12-11,-0.6457240336
4,2018-12-11,-0.6697443449
5,2018-12-11,-0.6536515515
6,2018-12-11,-0.6663321391
7,2018-12-11,-0.6616468396
8,2018-12-11,-0.6705806539
9,2018-12-11,-0.6584817143
10,2018-12-11,-0.7154856164
11,2018-12-11,-0.8204693932
12,2018-12-11,-0.7619058511
13,2018-12-11,-0.813742491
14,2018-12-11,-0.6768492667
15,2018-12-11,-0.8156895229
16,2018-12-11,-0.7096157095
17,2018-12-11,-0.6703995974
18,2018-12-11,-0.6373000061
19,2018-12-11,-0.6708957057
20,2018-12-11,-0.7380143511
21,2018-12-11,-0.7535392847
22,2018-12-11,-0.8023258219
23,2018-12-11,-0.6577939431
24,2018-12-11,-0.6666240554
1,2018-12-18,-1.024758256
2,2018-12-18,-0.9502815339
3,2018-12-18,-0.9409862413
4,2018-12-18,-0.9668791985
5,2018-12-18,-0.9468971517
6,2018-12-18,-0.9472975254
7,2018-12-18,-0.9468010368
8,2018-12-18,-0.9284210231
9,2018-12-18,-0.90959405
10,2018-12-18,-0.9650962785
11,2018-12-18,-0.9561282384
12,2018-12-18,-0.9869879442
13,2018-12-18,-0.9964724754
14,2018-12-18,-0.8776983787
15,2018-12-18,-0.9337763129
16,2018-12-18,-0.9883836574
17,2018-12-18,-0.9364727324
18,2018-12-18,-0.8359040685
19,2018-12-18,-0.8628521273
20,2018-12-18,-0.8951274069
21,2018-12-18,-0.9277165652
22,2018-12-18,-0.9370917368
23,2018-12-18,-0.8956638287
24,2018-12-18,-0.8742589177
1,2018-12-25,-1.07574662
2,2018-12-25,-1.041679769
3,2018-12-25,-1.045061745
4,2018-12-25,-1.045656295
5,2018-12-25,-1.038610078
6,2018-12-25,-1.011386942
7,2018-12-25,-1.001112761
8,2018-12-25,-0.9822499621
9,2018-12-25,-0.9723158238
10,2018-12-25,-0.9726451471
11,2018-12-25,-1.153590024
12,2018-12-25,-1.02121714
13,2018-12-25,-1.091684652
14,2018-12-25,-0.9963184498
15,2018-12-25,-1.123801389
16,2018-12-25,-0.9561675566
17,2018-12-25,-0.9775555592
18,2018-12-25,-0.9620226123
19,2018-12-25,-0.9788035761
20,2018-12-25,-1.092598981
21,2018-12-25,-1.101821477
22,2018-12-25,-1.165486247
23,2018-12-25,-0.9500447088
24,2018-12-25,-0.9933111851
1,2019-01-01,-0.7167543957
