,ward_no,date,mean
127,113,2018-07-10,-0.9059498264232902
128,94,2018-07-10,-1.0221543259727857
129,79,2018-07-10,-1.005916135817222
130,11,2018-07-10,-1.1090740192965491
131,15,2018-07-10,-1.0848435976004411
132,140,2018-07-10,-0.9941686842742684
133,97,2018-07-10,-0.9356848329871836
134,48,2018-07-10,-1.2365995763475566
135,35,2018-07-10,-1.043556744834187
136,116,2018-07-10,-0.9894181746778546
137,95,2018-07-10,-0.975948352209027
138,30,2018-07-10,-1.0474475097460587
139,58,2018-07-10,-1.062150471651424
140,105,2018-07-10,-1.0369355379430982
141,20,2018-07-17,-0.6546874084991714
142,102,2018-07-17,-0.8590522039692714
143,46,2018-07-17,-0.5863073420168328
144,73,2018-07-17,-0.7024917986975218
145,82,2018-07-17,-0.7645255001227439
146,124,2018-07-17,-0.9068336544845844
147,56,2018-07-17,-0.5821307805956533
148,3,2018-07-17,-0.4985476806268342
149,36,2018-07-17,-0.556527792531258
150,41,2018-07-17,-0.6443780083520825
151,37,2018-07-17,-0.5767588699756282
152,139,2018-07-17,-0.7056005786794866
153,23,2018-07-17,-0.647172070416049
154,40,2018-07-17,-0.5989391311360647
155,121,2018-07-17,-0.8460911213284289
156,33,2018-07-17,-0.432141218556214
157,103,2018-07-17,-0.8598364973423379
158,13,2018-07-17,-0.4969940555478741
159,66,2018-07-17,-0.6408396249731305
160,123,2018-07-17,-0.864728424479074
161,63,2018-07-17,-0.6417270941999899
162,21,2018-07-17,-0.6475425337477387
163,49,2018-07-17,-0.5680704972194687
164,70,2018-07-17,-0.6714239775329818
165,45,2018-07-17,-0.6278466817320191
166,100,2018-07-17,-0.943659844193634
167,92,2018-07-17,-0.7204470872230159
168,9,2018-07-17,-0.6696058879022235
169,114,2018-07-17,-0.9492627684811754
170,101,2018-07-17,-0.9348361658819097
171,138,2018-07-17,-0.7619944313142736
172,31,2018-07-17,-0.38642956289289615
173,104,2018-07-17,-0.8086841652251651
174,5,2018-07-17,-0.5048784865739935
175,126,2018-07-17,-0.8614965890827843
176,14,2018-07-17,-0.4955704284930636
177,111,2018-07-17,-1.0451599859026917
178,93,2018-07-17,-0.7266877754100711
179,61,2018-07-17,-0.6107707858845042
180,86,2018-07-17,-0.6634422722706541
181,90,2018-07-17,-0.6750052033960577
182,26,2018-07-17,-0.6444108027517679
183,72,2018-07-17,-0.6999676771397779
184,134,2018-07-17,-0.6894633109121812
185,99,2018-07-17,-0.9068815146171214
186,125,2018-07-17,-0.8941921588214785
187,118,2018-07-17,-0.8191124966781202
188,83,2018-07-17,-0.7157368375100612
189,43,2018-07-17,-0.6279909150106427
190,47,2018-07-17,-0.5790753692941554
191,115,2018-07-17,-0.8949604792520875
192,68,2018-07-17,-0.6532189606815829
193,39,2018-07-17,-0.6400960832278263
194,12,2018-07-17,-0.5269591638550661
195,108,2018-07-17,-0.6382390401265399
196,110,2018-07-17,-0.9995678633430396
197,141,2018-07-17,-0.7737888595974699
198,17,2018-07-17,-0.6352452125837371
199,7,2018-07-17,-0.5960455206196675
200,16,2018-07-17,-0.5692829792518083
201,137,2018-07-17,-0.8498256462859595
202,84,2018-07-17,-0.7220013493079049
203,18,2018-07-17,-0.6525892111472444
204,25,2018-07-17,-0.6453213304366171
205,60,2018-07-17,-0.6184141261030294
206,10,2018-07-17,-0.5727905416809026
207,62,2018-07-17,-0.6060335984768486
208,71,2018-07-17,-0.6883354921139082
209,91,2018-07-17,-0.668192473937981
210,75,2018-07-17,-0.6432933766319144
211,96,2018-07-17,-0.8311100264250125
212,88,2018-07-17,-0.7143359870676393
213,44,2018-07-17,-0.6096639705338045
214,85,2018-07-17,-0.6726692471573884
215,89,2018-07-17,-0.7433355881051433
216,67,2018-07-17,-0.6646279605648562
217,76,2018-07-17,-0.6506466309822855
218,74,2018-07-17,-0.7307928810352461
219,87,2018-07-17,-0.7234585162648768
220,132,2018-07-17,-0.8139074498761429
221,69,2018-07-17,-0.6455095420273782
222,22,2018-07-17,-0.6471763538817564
223,119,2018-07-17,-0.8272112938258468
