,WARD_NO,date,mean
212,10.0,2018-07-17,-0.3950078841763813
213,11.0,2018-07-17,-0.6016972690103931
214,5.0,2018-07-17,-0.4736484531081041
215,6.0,2018-07-17,-0.34003808885237524
216,7.0,2018-07-17,-0.3535485372442104
217,8.0,2018-07-17,-0.3174037534634415
218,9.0,2018-07-17,-0.4525741636095081
219,198.0,2018-07-17,-0.3227946212028835
220,130.0,2018-07-17,-0.3749424584481143
221,159.0,2018-07-17,-0.5326238087801219
222,40.0,2018-07-17,-0.4201714629858092
223,72.0,2018-07-17,-0.3571718303267795
224,129.0,2018-07-17,-0.3258293090759561
225,16.0,2018-07-17,-0.30466277324183805
226,160.0,2018-07-17,-0.20838024839759986
227,17.0,2018-07-17,-0.21387670940069434
228,37.0,2018-07-17,-0.1954857466873879
229,38.0,2018-07-17,-0.17747978491161318
230,42.0,2018-07-17,-0.1786536475271326
231,69.0,2018-07-17,-0.2786016859539975
232,73.0,2018-07-17,-0.3363126610858029
233,12.0,2018-07-17,-0.6419589643559396
234,13.0,2018-07-17,-0.6316096722000043
235,14.0,2018-07-17,-0.7791433230999681
236,15.0,2018-07-17,-0.5153847371682104
237,39.0,2018-07-17,-0.4659964958843451
238,41.0,2018-07-17,-0.3400618417805933
239,70.0,2018-07-17,-0.3574312403427862
240,71.0,2018-07-17,-0.35145346301255737
241,102.0,2018-07-17,-0.2902273036001755
242,43.0,2018-07-17,-0.1514280668133988
243,44.0,2018-07-17,-0.17030869365919385
244,67.0,2018-07-17,-0.13239067126890164
245,68.0,2018-07-17,-0.1246398439012724
246,74.0,2018-07-17,-0.1786131908127324
247,75.0,2018-07-17,-0.12877038172153069
248,35.0,2018-07-17,-0.18290308959716733
249,36.0,2018-07-17,-0.21083381598274767
250,45.0,2018-07-17,-0.18634532526524925
251,64.0,2018-07-17,-0.15016981852704064
252,65.0,2018-07-17,-0.16408739426641686
253,66.0,2018-07-17,-0.1525294373784924
254,76.0,2018-07-17,-0.15230079778540248
255,18.0,2018-07-17,-0.20420447729422267
256,19.0,2018-07-17,-0.20398057848160686
257,20.0,2018-07-17,-0.2243971756460716
258,21.0,2018-07-17,-0.23651074332161526
259,22.0,2018-07-17,-0.2542410706619649
260,33.0,2018-07-17,-0.23545867745194865
261,34.0,2018-07-17,-0.19862031675965405
262,46.0,2018-07-17,-0.2055735967571453
263,31.0,2018-07-17,-0.17357576357067694
264,32.0,2018-07-17,-0.25267547012807384
265,47.0,2018-07-17,-0.1942807961065052
266,48.0,2018-07-17,-0.17123934444471342
267,60.0,2018-07-17,-0.12910933912065062
268,61.0,2018-07-17,-0.13452940476026815
269,78.0,2018-07-17,-0.14145066931507402
270,23.0,2018-07-17,-0.2671731745943909
271,24.0,2018-07-17,-0.266337317706766
272,27.0,2018-07-17,-0.1377271952127729
273,28.0,2018-07-17,-0.12453199954225605
274,29.0,2018-07-17,-0.1804729079068464
275,30.0,2018-07-17,-0.16874017600189173
276,49.0,2018-07-17,-0.13405963761803624
277,59.0,2018-07-17,-0.137531736668192
278,113.0,2018-07-17,-0.1688282521702704
279,50.0,2018-07-17,-0.16516609890171247
280,57.0,2018-07-17,-0.2480898403382831
281,58.0,2018-07-17,-0.2082342317586236
